eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2023-12-31,2023,Cà Mau,108065,81773,71226,57041,36292,22434,3823,0.7567019849164854,0.6591033174478323,0.5278397260907787,0.3358349141720261,0.20759727941516679,0.035376856521537964
2019-12-31,2019,Cần Thơ,120290,79211,68656,58202,44834,30229,4208,0.6585002909635048,0.5707540111397457,0.48384736885859175,0.3727159364868235,0.25130102252888853,0.0349821265275584
2020-12-31,2020,Cần Thơ,135902,96854,84676,72089,54986,37133,6092,0.712675310149961,0.6230666215361069,0.5304484113552412,0.40460037379876673,0.27323365366219776,0.04482641903724743
2021-12-31,2021,Cần Thơ,138105,98237,85473,72815,54980,37117,7331,0.7113210962673329,0.6188986640599544,0.5272437638029036,0.39810289272654864,0.2687592773614279,0.053082799319358456
2022-12-31,2022,Cần Thơ,126323,92701,81411,68125,51461,34911,7701,0.733841026574733,0.6444669616776042,0.5392921320741274,0.40737632893455666,0.27636297428021817,0.06096277004187678
2023-12-31,2023,Cần Thơ,99728,72840,63589,52265,38824,25882,6553,0.7303866516926039,0.6376243381999037,0.5240754853200706,0.3892988929889299,0.2595259104764961,0.06570872773945131
2019-12-31,2019,Gia Lai,193680,155346,140287,108898,58781,33443,3803,0.8020755885997521,0.7243236266005783,0.5622573316811235,0.3034954564229657,0.17267141676992978,0.019635481206113175
2020-12-31,2020,Gia Lai,218283,184650,168794,136988,70952,40859,4730,0.8459202045051607,0.7732805578079832,0.6275706307866393,0.3250459266181975,0.18718361026740515,0.021669117613373465
2021-12-31,2021,Gia Lai,211727,175358,155482,121047,63181,35800,4342,0.8282269148478938,0.7343513108861883,0.571712629943276,0.29840785539869735,0.16908566219707452,0.020507540370382615
2022-12-31,2022,Gia Lai,186864,155834,135354,102056,53444,29977,3977,0.8339434026885864,0.7243449781659389,0.5461512115763336,0.2860047949310729,0.1604214830036818,0.021282858121414505
2023-12-31,2023,Gia Lai,149302,121730,103515,75427,38335,20720,3004,0.8153273231436954,0.6933262782816038,0.5051975191223158,0.25676146334275496,0.13877911883296942,0.02012029309721236
2019-12-31,2019,Hà Giang,118109,81542,76193,71047,44819,30181,4838,0.6903961594798026,0.6451074854583478,0.6015375627598235,0.3794715051350871,0.25553514126781196,0.04096216207062967
2020-12-31,2020,Hà Giang,127190,99517,94205,89395,54407,36309,5509,0.7824278638257725,0.7406635741803601,0.7028461357024923,0.42776161647928296,0.28547055586130987,0.04331315354980737
2021-12-31,2021,Hà Giang,124995,99766,94407,89257,52143,34243,4745,0.7981599263970559,0.755286211448458,0.7140845633825353,0.4171606864274571,0.27395495819832794,0.037961518460738426
2022-12-31,2022,Hà Giang,112115,92805,87602,82360,45997,29375,3918,0.8277661329884494,0.7813584266155287,0.7346028631316059,0.41026624448111315,0.2620077598893993,0.03494626053605673
2023-12-31,2023,Hà Giang,89553,74090,69455,64728,33690,20695,2623,0.8273313010172747,0.7755742409522852,0.7227898562862216,0.3762018022846806,0.23109220238294642,0.029289917702366195
2019-12-31,2019,Hà Nam,89859,76302,72531,69071,55066,40577,4133,0.8491303041431576,0.8071645578072313,0.768659789225342,0.6128045048353532,0.45156300426223306,0.04599427992744188
2020-12-31,2020,Hà Nam,102576,92380,88314,84384,67840,50096,5785,0.9006005303384808,0.8609616284510997,0.8226485727655592,0.6613632818593044,0.4883793479956325,0.05639720792388083
2021-12-31,2021,Hà Nam,101121,91165,87287,83272,67680,50453,7304,0.9015436951770651,0.863193599746838,0.8234886917653109,0.6692971786275848,0.4989369171586515,0.07223029835543557
2022-12-31,2022,Hà Nam,92608,84008,80787,77084,62091,46504,8005,0.9071354526606773,0.8723544402211472,0.8323686938493434,0.6704712335867312,0.5021596406357982,0.08643961644782308
2023-12-31,2023,Hà Nam,74570,66894,64117,60743,48346,35836,6966,0.8970631621295427,0.8598229851146574,0.8145769076035939,0.6483304277859729,0.4805685932680703,0.09341558267399759
2019-12-31,2019,Hà Nội,764872,537957,493738,466798,420760,333874,81739,0.7033294459726595,0.6455171584265079,0.6102955788680982,0.5501051156271899,0.43650963821397565,0.10686624690144234
2020-12-31,2020,Hà Nội,742463,637077,598045,556873,509235,408386,113374,0.8580589201078034,0.8054879502412915,0.7500346818629345,0.6858725619997226,0.5500422243263301,0.15269986517846681
2021-12-31,2021,Hà Nội,791909,714882,681281,650249,590310,484647,150139,0.902732510932443,0.8603021306741052,0.8211158100236264,0.7454265578494499,0.6119983482950693,0.1895912282850681
2022-12-31,2022,Hà Nội,745854,692623,670375,643549,583956,489477,166996,0.928630804420168,0.8988019102934355,0.8628350856870112,0.7829360705982672,0.656263826432519,0.2238990472666232
2023-12-31,2023,Hà Nội,597255,552448,534634,510619,467357,393318,147472,0.9249784430435911,0.8951519870072248,0.8549430310336456,0.7825083088463052,0.6585428334630936,0.2469163087793321
2019-12-31,2019,Hà Tĩnh,166569,125628,116184,107168,81816,60292,5151,0.7542099670406859,0.6975127424670857,0.6433850236238435,0.49118383372656377,0.36196411096902786,0.03092412153521964
2020-12-31,2020,Hà Tĩnh,184622,153053,142183,133016,97172,70343,6506,0.8290073772356491,0.7701303203301881,0.7204775162223354,0.5263294731938772,0.3810109304416592,0.035239570582054146
2021-12-31,2021,Hà Tĩnh,181367,152620,141620,131447,91120,62894,7086,0.8414981777280321,0.7808476735017947,0.7247569844569298,0.5024067222813412,0.346777528436816,0.03906995208610166
2022-12-31,2022,Hà Tĩnh,163145,139704,129725,120083,79969,54301,7425,0.8563179993257531,0.7951515523001011,0.7360507523981734,0.49017131999141866,0.3328388856538662,0.04551166140549818
2023-12-31,2023,Hà Tĩnh,129176,109615,101201,92967,57974,38006,5888,0.8485709419706448,0.7834350034062055,0.7196925125410293,0.448798538428191,0.2942187403232799,0.04558122251811482
2019-12-31,2019,Hoà Bình,78399,69788,68131,66195,45709,32409,3194,0.8901644153624408,0.8690289416956849,0.844334749167719,0.5830303957958648,0.4133853748134543,0.040740315565249555
2020-12-31,2020,Hoà Bình,74943,69497,68136,66997,45433,32280,3234,0.9273314385599722,0.9091709699371522,0.8939727526253286,0.6062340712274662,0.43072735278811897,0.04315279612505504
2021-12-31,2021,Hoà Bình,58133,53529,52338,51311,33961,24136,2613,0.9208022981783153,0.9003147953830011,0.8826484096812481,0.5841948635026577,0.4151858668914386,0.04494865222851049
2022-12-31,2022,Hoà Bình,42706,38724,37700,36789,23073,16447,1928,0.9067578326230507,0.882779937245352,0.8614480400880439,0.5402753711422282,0.3851215285908303,0.0451458811408233
2023-12-31,2023,Hoà Bình,25539,22609,21918,21237,10804,7274,1074,0.8852735032695094,0.8582168448255609,0.8315517443909315,0.4230392732683347,0.28481929597869926,0.04205333020086926
2019-12-31,2019,Hưng Yên,130573,115099,109678,104016,72689,48816,5222,0.8814915794230047,0.8399745736101645,0.7966118569688986,0.5566924249270523,0.37385983319675586,0.03999295413293713
2020-12-31,2020,Hưng Yên,150271,137620,131758,125855,89282,61097,7852,0.9158120994736176,0.8768025766781349,0.8375202134809777,0.5941399205435514,0.4065787810023225,0.0522522642426017
2021-12-31,2021,Hưng Yên,146187,134211,129131,123524,91292,64622,10690,0.9180775308337951,0.8833275188628263,0.8449725351775466,0.6244878135538727,0.4420502507062872,0.07312551731686127
2022-12-31,2022,Hưng Yên,131819,122295,118071,112800,84834,61921,12320,0.9277494139691547,0.895705474931535,0.8557188265728006,0.6435642813251504,0.46974260159764525,0.09346148885972431
2023-12-31,2023,Hưng Yên,104301,96215,92764,88319,66862,49283,11224,0.9224743770433649,0.8893874459497033,0.8467704048858592,0.6410485038494358,0.47250745438682273,0.1076116240496256
2019-12-31,2019,Hải Dương,203876,163053,153935,146007,108893,75940,9101,0.7997655437618945,0.7550422806019345,0.7161558986835135,0.5341138731385744,0.37248131217014263,0.044639879142223705
2020-12-31,2020,Hải Dương,220778,195028,185576,176799,133251,93557,13451,0.8833670021469531,0.8405547654204676,0.8007998985406155,0.6035519843462663,0.42376051961699085,0.06092545452898387
2021-12-31,2021,Hải Dương,214069,192965,184916,177662,137439,99956,17776,0.9014149643339298,0.8638149381741401,0.8299286678594285,0.6420313076624826,0.4669335588058056,0.0830386464177438
